track_name,track_artist,language,playlist_genre,playlist_subgenre,genre_encoded,language_encoded
Rockstar (feat. DV8),Timmy Trumpet,en,edm,progressive electro house,8,1
Stars,VIZE,en,edm,electro house,8,1
Amay Prashna Kare Neel Dhrubatara,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0
Lonely (feat. Lorine Chia),Jamila Woods,en,r&b,neo soul,11,1
Bone Noy Mone Mor,Manabendra Mukherjee,bn,Adhunik Bangla,Romantic Modern,0,0
Moyna Balo Tumi,Asha Bhosle,bn,Bangla Folk,Regional Folk,2,0
"Why You Get Funky On Me - From ""House Party"" Soundtrack",Today,en,r&b,new jack swing,11,1
Ek Je Chhilo Raja,Anup Ghoshal|Rabi Ghosh,bn,Children's Music,Story Song,4,0
Ami Gun Kormu Ekjonare,Anuradha Paudwal,bn,Devotional,Bhajan,5,0
Is It Love,3LAU,en,latin,tropical,9,1
Superstar,Said the Sky,en,edm,pop edm,8,1
With Me,dvsn,en,r&b,neo soul,11,1
I Gotta Feeling,The Black Eyed Peas,en,latin,latin hip hop,9,1
E Manihar Amay Nahi Saje,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0
2000 Rounds,Pouya,en,rap,gangster rap,12,1
I Feel The Love,Tritonal,en,pop,dance pop,10,1
Rangiye Diye Jao,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0
Ele Na Tumi Je,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0
Ei Mom Jochhonay Ango Bhijiye,Aarti Mukherji,bn,Bangla Film,Romantic Playback,1,0
Amar Sesh Paraner Kodi,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Romantic,7,0
Aaj Jiban Khunje Pabi,Bhupen Hazarika,bn,Adhunik Bangla,Romantic Modern,0,0
Wild Wild Son - Club Mix,Armin van Buuren,en,edm,progressive electro house,8,1
Gunjane Dole Je Bhramar,Asha Bhosle|Kishore Kumar,bn,Bangla Film,Romantic Duet,1,0
Dole Dodul Dole Jhulana,Manabendra Mukherjee|Shyamal Mitra,bn,Bangla Film,Semi-Classical Film,1,0
Right Down the Line,Gerry Rafferty,en,rock,album rock,13,1
Sloppy Seconds,Watsky,en,pop,indie poptimism,10,1
E Kemon Ranga Jadu,Bhupen Hazarika,bn,Adhunik Bangla,Romantic Modern,0,0
Sometimes When We Touch,Dan Hill,en,rock,album rock,13,1
Dake Loke Amake Clown,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0
I'm Ready,Tevin Campbell,en,r&b,new jack swing,11,1
Baani Tabo Dhai,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Classic,7,0
E Jiban Premeri Ek Patabahar Kabita,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0
Ekkhana Megh Bhese Elo Akashe,Bhupen Hazarika,bn,Adhunik Bangla,Romantic Modern,0,0
Original Don (feat. The Partysquad) [Flosstradamus Remix],Major Lazer,en,rap,trap,12,1
Nothin' But The Cavi Hit,Mack 10,en,rap,gangster rap,12,1
Jafrani Rang Akashe,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0
Thinking About You (feat. Ayah Marar),Calvin Harris,en,pop,electropop,10,1
On my shoulders,The Dø,en,rock,album rock,13,1
Jeno Kichhu Mone Korona,Akhil Bandhu Ghosh,bn,Adhunik Bangla,Romantic Modern,0,0
Steambreather,Mastodon,en,rock,hard rock,13,1
Aamar Bhalobasar Rajprasade,Manna Dey,bn,Adhunik Bangla,Romantic Modern,0,0
Animals,Maroon 5,en,pop,post-teen pop,10,1
Swingin Party - 2008 Remaster,The Replacements,en,rock,permanent wave,13,1
Wolf,Skott,en,pop,indie poptimism,10,1
Shono Go Dakhin Hawa,S. D. Burman,bn,Adhunik Bangla,Romantic Modern,0,0
The Wrong Ones,JC Stewart,en,latin,latin hip hop,9,1
Aamar Pujar Phool,Kishore Kumar,bn,Adhunik Bangla,Romantic Modern,0,0
Hey Priyotama Ami To Tomay,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0
Girls Just Want to Have Fun,Cyndi Lauper,en,pop,electropop,10,1
All Falls Down (feat. Juliander),Alan Walker,en,edm,electro house,8,1
Janmadin,Kishore Kumar,bn,Children's Music,Birthday Song,4,0
O Shyam Jakhan Takhan,Sujata Mukherjee|Aarti Mukherji,bn,Bangla Film,Duet Playback,1,0
Sound of da Police,KRS-One,en,rap,southern hip hop,12,1
In Love With You,Erykah Badu,en,r&b,neo soul,11,1
Phulkali Re Phulkali,Asha Bhosle|Kishore Kumar,bn,Bangla Film,Light Romantic,1,0
Metal,Gary Numan,en,rock,permanent wave,13,1
Glory Days,Bruce Springsteen,en,rock,classic rock,13,1
Neon,Frida Sundemo,en,pop,indie poptimism,10,1
Amar Khela Jakhon Chhilo Tomar Sane,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0
Tomate Amate Dekha Hoyechhilo,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0
Just As I Am,Marshall Marshall,en,pop,dance pop,10,1
Jakhan Keu Amake Pagol Bale,Manna Dey,bn,Adhunik Bangla,Philosophical Modern,0,0
Keep Yourself Alive - 2011 Mix,Queen,en,rock,album rock,13,1
Ami Je Ke Tomar,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0
Hotam Jodi Tota Pakhi,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0
Jakhan Ami Anek Dure,Kishore Kumar,bn,Bangla Film,Melancholy Playback,1,0
Nijhum Nishithe,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0
"What Christmas Means to Me - from ""The Best Man Holiday Original Motion Picture Soundtrack""",Fantasia,en,r&b,neo soul,11,1
Money For Nothing,Dire Straits,en,rock,classic rock,13,1
One Day,UGK,en,rap,southern hip hop,12,1
Prano Bhariye Trisha Hariye,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Classic,7,0
Better Give U Up,FKJ,en,r&b,neo soul,11,1
Na Ekhoni Noy Jabe,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0
O Mor Moyna Go,Lata Mangeshkar,bn,Bangla Folk,Folk Song,2,0
Screwed Up,Ludacris,en,rap,southern hip hop,12,1
Is This It,The Strokes,en,rock,permanent wave,13,1
Unstoppable,Paperwhite,en,pop,indie poptimism,10,1
Kiss You All Over,Exile,en,rock,classic rock,13,1
Ki Je Bhabi Elomelo,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0
Emon Madhur Sandhyay,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0
Aadho Aalo Chhayte,Kishore Kumar|Asha Bhosle,bn,Bangla Film,Duet Playback,1,0
Nibhrita Praner,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Classic,7,0
Ami Apon Koriya Chahini,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0
Ami Chini Go Chini Tomare,Kishore Kumar,bn,Rabindra Sangeet,Tagore Romantic,7,0
Stronger,Prismo,en,pop,electropop,10,1
Down to the River,Danny Boone,en,rap,southern hip hop,12,1
6 Man,Drake,en,r&b,urban contemporary,11,1
Bad - 2012 Remaster,Michael Jackson,en,rock,classic rock,13,1
Ke Pratham Kachhe Esechhi,Lata Mangeshkar|Manna Dey,bn,Bangla Film,Duet Playback,1,0
Swapan Jodi Madhur Emon,Manna Dey,bn,Bangla Film,Romantic Playback,1,0
End Of The Road,Boyz II Men,en,r&b,new jack swing,11,1
Kaputt,Destroyer,en,pop,dance pop,10,1
Aay Aay Chhute Aay,Bhupen Hazarika,bn,Adhunik Bangla,Romantic Modern,0,0
Nayan Sarasi Keno Bhoreche Jaale,Kishore Kumar,bn,Adhunik Bangla,Melancholic Modern,0,0
Mother - Fedde Le Grand Remix,Charlie Puth,en,pop,dance pop,10,1
Do Me Right,Guy,en,r&b,new jack swing,11,1
Easy Love,Sigala,en,latin,tropical,9,1
Chainsmoking,Jacob Banks,en,pop,indie poptimism,10,1
Fortunate,Maxwell,en,r&b,neo soul,11,1
Jana - Gana - Mana - Orchestra,Akashvani Vadya Vrinda,bn,Children's Music,Comic Song,4,0
Pranbhara Swapna,Kishore Kumar|Chandrani Mukherjee,bn,Bangla Film,Duet Playback,1,0
There Are Too Many Of Us,Blur,en,rock,permanent wave,13,1
Amar Andhar Bhubane,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0
Love,Musiq Soulchild,en,r&b,neo soul,11,1
Ke Jay Re,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0
Amar Shilpi Tumi Kishore Kumar,Kumar Sanu,bn,Bangla Film,Romantic Playback,1,0
When I See You Smile,Bad English,en,rock,album rock,13,1
Hate Me Now (feat.- Puff Daddy),Nas,en,rap,gangster rap,12,1
Ain't My Fault - R3hab Remix,Zara Larsson,en,rap,trap,12,1
Swapna Mahale Ajo Nishirate,Bappi Lahiri,bn,Bangla Film,Romantic Playback,1,0
Ami Aaj Bhebechhi Mone,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0
Ogo Abar Natun Kore,Mukesh,bn,Bangla Film,Romantic Playback,1,0
Woman,Wolfmother,en,rock,hard rock,13,1
Molly,Tyga,en,rap,gangster rap,12,1
Ami Jani Na,Asha Bhosle|Abhijeet Bhattacharya,bn,Bangla Film,Duet Playback,1,0
Tomar Pujar Chhaley,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Devotional,7,0
Icarus,Kojey Radical,en,r&b,neo soul,11,1
Bharat Amar Bharat Barsha,Manna Dey,bn,Bangla Film,Romantic Playback,1,0
Bhalobashar Moto Bhalo Kauke,Udit Narayan,bn,Bangla Film,Romantic Playback,1,0
Ei Agune Haat Rakho,Nachiketa Chakraborty,bn,Adhunik Bangla,Romantic Modern,0,0
Pran Chay Chokkhu Na Chay,Sagar Sen,bn,Rabindra Sangeet,Tagore Classic,7,0
Hai Hai Ki Herilam,Utpalendu Chowdhury,bn,Bangla Folk,Folk Ballad,2,0
Bhola Mon Moner Katha,Shyamal Mitra,bn,Adhunik Bangla,Romantic Modern,0,0
New Light,John Mayer,en,pop,dance pop,10,1
Mor Bhabanare Ki Haoway Matalo,Hemant Kumar,bn,Rabindra Sangeet,Tagore Nature,7,0
How We Party,R3HAB,en,edm,big room,8,1
Pathey Chhile Jetey,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Classic,7,0
Work,Rihanna,en,rap,southern hip hop,12,1
Tora Je Ja Bolish,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Playful,7,0
Driftin' Blues,Charles Brown,en,rock,classic rock,13,1
My Body,Young the Giant,en,pop,indie poptimism,10,1
Sittin' Sidewayz (feat. Big Pokey),Paul Wall,en,rap,hip hop,12,1
Lost In Stereo,All Time Low,en,pop,post-teen pop,10,1
Burden,Foy Vance,en,r&b,neo soul,11,1
Opposites Attract,Paula Abdul,en,r&b,new jack swing,11,1
Ja Peyechhi,Amit Kumar,bn,Bangla Film,Romantic Playback,1,0
Baby I'm Yours - Re-Recorded,Shai,en,r&b,new jack swing,11,1
Round and Round,Ratt,en,rock,classic rock,13,1
Dinguli Mor,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Nostalgia,7,0
Bridges,Broods,en,pop,indie poptimism,10,1
Eso Pranbharan,Arundhati Holme Chowdhury|Bitu Samajpati,bn,Rabindra Sangeet,Tagore Classic,7,0
Sweet Home Alabama,Lynyrd Skynyrd,en,rap,southern hip hop,12,1
Message In A Bottle - Remastered 2003,The Police,en,rock,classic rock,13,1
Ami Gaan Shonabo,Hemant Kumar,bn,Adhunik Bangla,Light Modern,0,0
