track_name,track_artist,language,playlist_genre,playlist_subgenre,genre_encoded,language_encoded,beta_vae_kmeans_cluster,autoencoder_kmeans_cluster,pca_kmeans_cluster
Aaj Ei Dintake,Kishore Kumar,bn,Bangla Film,Retro Film Melody,1,0,0,12,5
Amar Swapna Tumi Ogo,Asha Bhosle|Kishore Kumar,bn,Bangla Film,Romantic Duet,1,0,0,9,3
Ami Chini Go Chini Tomare,Kishore Kumar,bn,Rabindra Sangeet,Tagore Romantic,7,0,8,11,10
Purano Sei Diner,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Nostalgia,7,0,6,4,7
Aamar Pujar Phool,Kishore Kumar,bn,Adhunik Bangla,Romantic Modern,0,0,11,9,0
Se Jeno Aamar Pashe,Kishore Kumar,bn,Adhunik Bangla,Romantic Modern,0,0,0,0,5
Mone Pore Ruby Roy,R. D. Burman,bn,Adhunik Bangla,Urban Nostalgia,0,0,3,8,3
Coffee Houser Sei Addata Aaj Aar Nei,Manna Dey,bn,Adhunik Bangla,Urban Nostalgia,0,0,6,7,9
Sei Raate Raat Chhilo Purnima,Kishore Kumar,bn,Adhunik Bangla,Romantic Modern,0,0,6,8,7
Ei Path Jodi Na Shes Hoy,Sandhya Mukherjee|Hemant Kumar,bn,Bangla Film,Romantic Duet,1,0,13,8,7
Tumi Kon Kananer Phul,Asha Bhosle,bn,Rabindra Sangeet,Tagore Romantic,7,0,3,8,3
Amar Swapna Je Satyi,Kishore Kumar|Lata Mangeshkar,bn,Bangla Film,Romantic Retro,1,0,6,7,9
Nayan Sarasi Keno Bhoreche Jaale,Kishore Kumar,bn,Adhunik Bangla,Melancholic Modern,0,0,8,9,12
Jodi Hoi Chorkanta,Asha Bhosle|Kishore Kumar,bn,Bangla Film,Romantic Retro,1,0,8,4,7
Mon-Majhi Re,R. D. Burman,bn,Bangla Folk,Folk-inspired Modern,2,0,0,7,9
Tare Ami Chokhe Dekhini,Kishore Kumar,bn,Adhunik Bangla,Mystical Modern,0,0,3,0,12
Aamar Bhalobasar Rajprasade,Manna Dey,bn,Adhunik Bangla,Romantic Modern,0,0,8,4,7
Aaj Milan Tithir Purnima Chand,Kishore Kumar,bn,Bangla Film,Romantic Retro,1,0,9,4,7
Jakhan Keu Amake Pagol Bale,Manna Dey,bn,Adhunik Bangla,Philosophical Modern,0,0,5,7,9
Coffee Houser Sei Addata Aaj Aar Nei,Manna Dey,bn,Adhunik Bangla,Urban Nostalgia,0,0,12,7,9
Chokher Jaler Hoyna Kono Rang,Kishore Kumar,bn,Adhunik Bangla,Melancholic Modern,0,0,8,9,0
Chirodini Tumi Je Aamar- Male,Kishore Kumar,bn,Bangla Film,Romantic Film Ballad,1,0,0,7,9
Jani Tomar Premer Jogyo Ami To Noi,Manna Dey,bn,Adhunik Bangla,Melancholic Modern,0,0,11,2,10
Bandhagharer Andhakare,Asha Bhosle|Kishore Kumar,bn,Adhunik Bangla,Philosophical Modern,0,0,9,4,7
