track_name,lyrics,playlist_genre,playlist_subgenre,track_artist,duration_ms,language,track_album_release_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,valence
Aaj Ei Dintake,"আজ এই দিনটাকে মনের খাতায় লিখে রাখো, আমায় কিছু দিতে হলে মনটি তোমার দিয়ে রাখো। এল যে জোয়ার খুশির খেয়ায়, আজকে দুজন যাবো যে হায়। কোনোদিন ভাবিনি তো এইভাবে পাবো যে তোমায়। সেই যে তোমার চপল চাওয়া, মনের কোণে দিয়েছে হাওয়া, সেই হাওয়াতে দুলছে আমার জীবন তরী আজ। ভালোবাসা যে আজ পেয়েছে নতুন এক সাজ। তুমি পাশে থাকলে আমার আর তো কিছু চাওয়ার নেই, এই পথ চলায় তুমি থেকো চিরদিন এভাবেই।",Bangla Film,Retro Film Melody,Kishore Kumar,268000,bn,2011-08-09 00:00:00,0.03,0.982,0.853,0.013,-11.898,0.09,150.157,0,1,0.05
Amar Swapna Tumi Ogo,"আমার স্বপ্ন তুমি ওগো চিরদিনের সাথী, তোমায় যে পেয়েছি আমি ধন্য আমার এই রাতি। জীবনের পথে চলতে গিয়ে তোমায় আমি পেলাম কাছে, হৃদয়ের সব কথা আজ তোমার কাছেই বলা আছে। তুমি যে আমার জীবনের ধ্রুবতারা, তোমায় ছাড়া আমি যে দিশেহারা। মনের বনে ফুটেছে আজ ভালোবাসার অজস্র ফুল, তোমায় আমি ভালোবেসে করিনি তো কোনো ভুল। এই পৃথিবীর আলো ছায়ায় তুমি থাকো আমারি হয়ে, সারাজীবন চলব মোরা একই সুরের নৌকায় বয়ে।",Bangla Film,Romantic Duet,Asha Bhosle|Kishore Kumar,235000,bn,2004-06-03 00:00:00,0.43,0.24,0.791,0.464,-10.397,0.04,155.007,0,4,0.041
Ami Chini Go Chini Tomare,"আমি চিনি গো চিনি তোমারে ওগো বিদেশিনী। তুমি থাকো সিন্ধুপারে ওগো বিদেশিনী। তোমারে দেখেছি শারদপ্রাতে, তোমারে দেখেছি মাধবী রাতে, তোমারে দেখেছি হৃদমাঝারে ওগো বিদেশিনী। ভুবন ভ্রমিয়া শেষে এসেছি তব দেশে, আমি অতিথি তোমারি দ্বারে ওগো বিদেশিনী। তোমার ঐ আকাশ-নীল নয়নে মনের কথাটি দাও গো কয়ে, আমি একা বসে থাকি কাননে ওগো বিদেশিনী। প্রাণের ওপারে তুমি কে গো বসিয়া, মোর গানখানি লও গো শুনিয়া, তোমার চরণে সঁপিয়াছি হিয়া ওগো বিদেশিনী।",Rabindra Sangeet,Tagore Romantic,Kishore Kumar,147000,bn,2017-01-06 00:00:00,0.09,0.551,0.275,0.28,-9.2,0.063,150.02,1,1,0.093
Purano Sei Diner,"পুরনো সেই দিনের কথা ভুলবি কি রে হায়। ও সেই চোখের দেখা, প্রাণের কথা, সে কি ভোলা যায়। আয় আর-একটি বার আয় রে সখা, প্রাণের মাঝে আয়। মোরা দোহায় মিলে জুলব আবার মোদের পুরনো সেই দিনের কথা। আয় আর-একটি বার আয় রে সখা, মোরা প্রাণের কথা কবো প্রাণে। মোরা সুখের দুখের কথা কবো, প্রাণ জুড়াবে গানে। মোরা বনের ফুলে গাঁথব মালা, বনের ছায়ায় খেলব খেলা। মোরা দোহায় মিলে সুখে থাকব পুরনো সেই দিনের কথা ভুলে।",Rabindra Sangeet,Tagore Nostalgia,Debabrata Biswas,183000,bn,2018-11-03 00:00:00,0.87,0.03,0.774,0.786,-13.11,0.0028,154.87,1,1,0.09
Aamar Pujar Phool,"আমার পূজার ফুল ভালোবাসা হয়ে গেছে, তুমি কি জানো না? মনের মণিকোঠায় তুমি ছাড়া আর কেউ নেই, তুমি কি বোঝো না? এই জীবনে যা পেয়েছি সবই তো তোমার দান, তুমি আমার সাধনা আর তুমিই তো আমার গান। অভিমান করে তুমি দূরে সরে যেয়ো না, আমাকে ভুলে গিয়ে অন্য কাউকে চেয়ো না। এই হৃদয়ের সবটুকু প্রেম শুধু তোমারই তরে, জনম জনম থেকো তুমি আমার মনের ঘরে।",Adhunik Bangla,Romantic Modern,Kishore Kumar,267000,bn,2018-03-01 00:00:00,0.82,0.852,0.593,0.05,-4.049,0.0576,154.776,0,9,0.08
Se Jeno Aamar Pashe,"সে যেন আমার পাশে আজও বসে আছে, নিঝুম রাতের তারায় তারায় সে কথা বলে গেছে। জানি সে ফিরবে না আর এই পৃথিবীর পথে, তবু কেন মন আমার তাকেই খোঁজে প্রতিনিয়ত সব তাতে। তার সেই হাসিমাখা মুখ আর চোখের চাহনি, মনে পড়ে যায় যখন আমি থাকি একা নির্জন রজনী। ভালোবাসা হয়তো এমন যে হারায় সে আর আসে না, তবুও স্মৃতিগুলো তাকে ছাড়া কাউকে ভালোবাসে না।",Adhunik Bangla,Romantic Modern,Kishore Kumar,210000,bn,2010-01-12 00:00:00,0.39,0.94,0.978,0.92,-2.038,0.03,150.02,0,9,0.05
Mone Pore Ruby Roy,"মনে পড়ে রুবি রায় কবিতায় তোমাকে একদিন লিখেছিলাম, অধিকারীণী আজ অন্য কারো আমি নই আজ সেই আগের আমি। তোমার ঘরে আজ উৎসবের আলো, আমার মনে শুধু অন্ধকার কালো। তুমি কি এখনো আগের মতোই গান গাও? নাকি আমাকে ভুলে গিয়ে নতুন কাউকে সুর দাও? সেই দিনগুলো আজ শুধু অতীত হয়ে গেছে, আমার চোখের জল শুধু লোনা হয়ে মিশে আছে। ভালোবাসা কেন এমন করে হারিয়ে যায়, রুবি রায় তুমি কি জানো আমার মন আজও তোমায় চায়?",Adhunik Bangla,Urban Nostalgia,R. D. Burman,207000,bn,2005-04-04 00:00:00,0.16,0.251,0.524,0.95,-11.986,0.09,150.025,0,2,0.06
Coffee Houser Sei Addata Aaj Aar Nei,"কফি হাউসের সেই আড্ডাটা আজ আর নেই, আজ আর নেই। কোথায় হারিয়ে গেল সোনালী বিকেলগুলো সেই আজ আর নেই। নিখিলেশ প্যারিসে মইদুল ঢাকাতে নেই তারা আজ কোনো খবরে। অমলটা ধুঁকছে দুরন্ত ক্যান্সারে জীবনটা তার গেছে ফুরিয়ে। কত কত কথা ছিল কত ছিল গান, কত ছিল হাসি আর আভিমান। আজ সব নিস্তব্ধ সবখানে খাঁ খাঁ করে, স্মৃতিগুলো শুধু আজ ভিড় করে আসে মনেরই কোণে।",Adhunik Bangla,Urban Nostalgia,Manna Dey,386000,bn,2001-11-07 00:00:00,0.48,0.44,0.454,0.457,-12.621,0.0682,150.001,1,10,0.03
Sei Raate Raat Chhilo Purnima,"সেই রাতে রাত ছিল পূর্ণিমা, আকাশটা ছিল চাঁদের আলোয় ভরা। তুমি আর আমি দুজনে মিলে দেখেছিলাম স্বপ্নের মতো সেই রাতটি। চারদিকে ছিল শুধু নিস্তব্ধতা আর আমাদের মনের কথা। বাতাসের দোলায় কাঁপছিল তোমার চুল, আমার হৃদয়ে ছিল ভালোবাসার আকুলতা। সেই রাতের স্মৃতি আজও আমার মনে অমলিন হয়ে আছে, যদিও তুমি আজ নেই আমার পাশে। পূর্ণিমার চাঁদ আজও ওঠে আকাশ রাঙিয়ে, কিন্তু তোমার অভাব আজও আমাকে কাঁদায় দুচোখ রাঙিয়ে।",Adhunik Bangla,Romantic Modern,Kishore Kumar,245000,bn,2003-05-10 00:00:00,0.6,0.691,0.819,0.555,-12.575,0.05,155.06,1,7,0.03
Ei Path Jodi Na Shes Hoy,"এই পথ যদি না শেষ হয় তবে কেমন হতো তুমি বল তো? যদি পৃথিবীটা স্বপ্নময় হয় তবে কেমন হতো তুমি বল তো? তুমি পাশে আছো তাই এই পথ চলা এত সুন্দর, তুমি আছো তাই আমার জীবন আজ হয়েছে মধুময়। বাতাসের কানে কানে শুধু তোমার আমার কথা, পৃথিবীর সবটুকু সুখ আজ আমাদের এই পথ চলায় গাথা। নেই কোনো ভয় নেই কোনো পিছুটান, শুধু তুমি আর আমি গাইব ভালোবাসার গান। এই পথ চলা যদি কখনো না ফুরিয়ে যায়, তবে এই জীবন সার্থক হবে তোমারই মায়ায়।",Bangla Film,Romantic Duet,Sandhya Mukherjee|Hemant Kumar,191000,bn,2022-03-03 00:00:00,0.72,0.81,0.053,0.612,-12.274,0.02,154.95,0,4,0.0752
Tumi Kon Kananer Phul,"তুমি কোন কাননের ফুল, কোন গগনের তারা? তোমায় দেখে আমি যে হয়েছি দিশেহারা। তোমার রূপের ছটায় পৃথিবী আজ আলোকিত, আমার মন হয়েছে তোমার প্রেমের নেশায় মাতাল। তুমি কি জানো তুমি আমার জীবনের সবটুকু আনন্দ? তোমায় ঘিরেই আমার সব কবিতা আর সব ছন্দ। বনের হরিণী যেমন জল দেখে ছুটে যায়, আমার মনও তেমনি তোমার কাছে আশ্রয় চায়। তুমি আমার হৃদয়ের রানী, আমার চিরদিনের সাথী।",Rabindra Sangeet,Tagore Romantic,Asha Bhosle,238000,bn,2021-03-02 00:00:00,0.13,0.918,0.8,0.902,-10.568,0.0037,149.971,0,4,0.05
Amar Swapna Je Satyi,"আমার স্বপ্ন যে সত্যি হয়েছে আজ, তোমায় পেয়েছি আমি সব কাজেরই মাঝে। জীবনের সব দুঃখ আজ মুছে গেছে দূরে, তুমি এসেছো আমার জীবনে নতুন সুরের ভোরে। এতদিন শুধু তোমায় কল্পনাতেই দেখেছিলাম, আজ বাস্তবে তোমায় পাশে পেয়ে আমি ধন্য হলাম। এই ভালোবাসা যেন চিরদিন অমর হয়ে থাকে, পৃথিবীর সব ঝড়ঝাপটা থেকে যেন আমাদের আড়াল করে রাখে। তুমি আমার চিরদিনের, আমি তোমারই থাকব, সবটুকু প্রেম দিয়ে তোমায় আগলে রাখব।",Bangla Film,Romantic Retro,Kishore Kumar|Lata Mangeshkar,327000,bn,2001-12-01 00:00:00,0.52,0.5,0.797,0.798,-13.236,0.08,150.155,1,8,0.021
Nayan Sarasi Keno Bhoreche Jaale,"নয়ন সরসী কেন ভরেছে জলে? তুমি কি আমায় কিছু বলতে চাও গোপনে? তোমার চোখের পাতায় কেন মেঘের ছায়া, তুমি কি পেয়েছো মনে কোনো অজানা মায়া? কথা দাও আমায় কভু ছেড়ে যাবে না, আমার মনকে কখনো একা করে দেবে না। এই নয়ন জলে আমার হৃদয় ভেসে যায়, তোমার হাসিতেই আমার জীবন মুক্তি পায়। মুছে ফেলো আঁখিজল হেসো তুমি আবার, তোমায় ঘিরেই তো আমার এই প্রেমের সংসার।",Adhunik Bangla,Melancholic Modern,Kishore Kumar,205000,bn,2013-06-07 00:00:00,0.54,0.272,0.387,0.192,-11.85,0.0404,149.992,0,8,0.07
