track_name,track_artist,language,playlist_genre,playlist_subgenre,genre_encoded,language_encoded
Aaj Ei Dintake,Kishore Kumar,bn,Bangla Film,Retro Film Melody,1,0
Amar Swapna Tumi Ogo,Asha Bhosle|Kishore Kumar,bn,Bangla Film,Romantic Duet,1,0
Ami Chini Go Chini Tomare,Kishore Kumar,bn,Rabindra Sangeet,Tagore Romantic,7,0
Purano Sei Diner,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Nostalgia,7,0
Aamar Pujar Phool,Kishore Kumar,bn,Adhunik Bangla,Romantic Modern,0,0
Se Jeno Aamar Pashe,Kishore Kumar,bn,Adhunik Bangla,Romantic Modern,0,0
Mone Pore Ruby Roy,R. D. Burman,bn,Adhunik Bangla,Urban Nostalgia,0,0
Coffee Houser Sei Addata Aaj Aar Nei,Manna Dey,bn,Adhunik Bangla,Urban Nostalgia,0,0
Sei Raate Raat Chhilo Purnima,Kishore Kumar,bn,Adhunik Bangla,Romantic Modern,0,0
Ei Path Jodi Na Shes Hoy,Sandhya Mukherjee|Hemant Kumar,bn,Bangla Film,Romantic Duet,1,0
Tumi Kon Kananer Phul,Asha Bhosle,bn,Rabindra Sangeet,Tagore Romantic,7,0
Amar Swapna Je Satyi,Kishore Kumar|Lata Mangeshkar,bn,Bangla Film,Romantic Retro,1,0
Nayan Sarasi Keno Bhoreche Jaale,Kishore Kumar,bn,Adhunik Bangla,Melancholic Modern,0,0
Jodi Hoi Chorkanta,Asha Bhosle|Kishore Kumar,bn,Bangla Film,Romantic Retro,1,0
Mon-Majhi Re,R. D. Burman,bn,Bangla Folk,Folk-inspired Modern,2,0
Tare Ami Chokhe Dekhini,Kishore Kumar,bn,Adhunik Bangla,Mystical Modern,0,0
Aamar Bhalobasar Rajprasade,Manna Dey,bn,Adhunik Bangla,Romantic Modern,0,0
Aaj Milan Tithir Purnima Chand,Kishore Kumar,bn,Bangla Film,Romantic Retro,1,0
Jakhan Keu Amake Pagol Bale,Manna Dey,bn,Adhunik Bangla,Philosophical Modern,0,0
Coffee Houser Sei Addata Aaj Aar Nei,Manna Dey,bn,Adhunik Bangla,Urban Nostalgia,0,0
Chokher Jaler Hoyna Kono Rang,Kishore Kumar,bn,Adhunik Bangla,Melancholic Modern,0,0
Chirodini Tumi Je Aamar- Male,Kishore Kumar,bn,Bangla Film,Romantic Film Ballad,1,0
Jani Tomar Premer Jogyo Ami To Noi,Manna Dey,bn,Adhunik Bangla,Melancholic Modern,0,0
Bandhagharer Andhakare,Asha Bhosle|Kishore Kumar,bn,Adhunik Bangla,Philosophical Modern,0,0
O Chand Samle Rakho Jochhnake,Manna Dey,bn,Adhunik Bangla,Romantic Modern,0,0
Na Na Na Kachhe Esona,Asha Bhosle|S. P. Balasubrahmanyam,bn,Bangla Film,Playful Romantic,1,0
Sundari Go Dohai Dohai,Manna Dey,bn,Bangla Film,Playful Folk-Film,1,0
Asha Chhilo Bhalobasa Chhilo,Kishore Kumar,bn,Adhunik Bangla,Melancholic Modern,0,0
Hoyto Amake Karo Mone,Kishore Kumar,bn,Adhunik Bangla,Romantic Modern,0,0
Mone Porle,Arijit Singh,bn,Adhunik Bangla,Romantic Modern,0,0
Gunjane Dole Je Bhramar,Asha Bhosle|Kishore Kumar,bn,Bangla Film,Romantic Duet,1,0
Phulkali Re Phulkali,Asha Bhosle|Kishore Kumar,bn,Bangla Film,Light Romantic,1,0
Keno Re Tui Chorli,Kishore Kumar,bn,Adhunik Bangla,Melancholic Modern,0,0
"Rangini Kato Mon, Mon Dite Chay",Manna Dey,bn,Adhunik Bangla,Romantic Modern,0,0
Bolchi Tomar Kane Kane- Female,Lata Mangeshkar,bn,Bangla Film,Romantic Solo,1,0
Din Khon Mapa Ache,Arijit Singh,bn,Adhunik Bangla,Romantic Modern,0,0
Lalita Go Oke Aaj Chole Jete Bal Na,Manna Dey,bn,Bangla Film,Emotional Retro,1,0
Prithibi Bodle Gechhe,Kishore Kumar,bn,Adhunik Bangla,Philosophical Modern,0,0
Ek Tanete Jemon Temon,Kishore Kumar|Swapan Chakraborty,bn,Bangla Folk,Folk-inspired Light,2,0
Aaj Theke Aar Bhalobasar,Kishore Kumar,bn,Adhunik Bangla,Breakup Modern,0,0
Hridayer Gaan Shikhe To Gaay Go Sabai,Manna Dey,bn,Adhunik Bangla,Philosophical Modern,0,0
E Gaane Prajapati (Stereo),Sandhya Mukherjee,bn,Bangla Film,Light Romantic,1,0
Chhero Na Chhero Na Haath,Kishore Kumar|Sabina Yasmeen,bn,Bangla Film,Romantic Duet,1,0
Ami Cheye Cheye Dekhi,Shyamal Mitra,bn,Adhunik Bangla,Romantic Modern,0,0
Dole Dodul Dole Jhulana,Manabendra Mukherjee|Shyamal Mitra,bn,Bangla Film,Semi-Classical Film,1,0
Tomay Porechhe Mone,Kishore Kumar,bn,Adhunik Bangla,Romantic Modern,0,0
Mangaldeep Jwele (Part 1),Lata Mangeshkar|Others,bn,Devotional,Puja Spiritual,5,0
Shono Mon Boli Tomay,R. D. Burman,bn,Adhunik Bangla,Philosophical Modern,0,0
Tora Je Ja Bolish,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Playful,7,0
Chirodini Tumi Je Aamar- Female,Asha Bhosle,bn,Bangla Film,Romantic Film Ballad,1,0
Aamar Swapna Je,Lata Mangeshkar|Kishore Kumar,bn,Bangla Film,Romantic Retro,1,0
Ka Phonta Chokher Jal Phelechho,Manna Dey,bn,Adhunik Bangla,Melancholic Modern,0,0
