track_name,language,playlist_genre,playlist_subgenre,track_artist,kmeans_cluster,agg_cluster,dbscan_cluster
Aaj Ei Dintake,bn,Bangla Film,Retro Film Melody,Kishore Kumar,0,0,0
Amar Swapna Tumi Ogo,bn,Bangla Film,Romantic Duet,Asha Bhosle|Kishore Kumar,0,1,0
Ami Chini Go Chini Tomare,bn,Rabindra Sangeet,Tagore Romantic,Kishore Kumar,0,0,0
Purano Sei Diner,bn,Rabindra Sangeet,Tagore Nostalgia,Debabrata Biswas,1,0,0
Aamar Pujar Phool,bn,Adhunik Bangla,Romantic Modern,Kishore Kumar,1,0,0
Se Jeno Aamar Pashe,bn,Adhunik Bangla,Romantic Modern,Kishore Kumar,0,1,0
Mone Pore Ruby Roy,bn,Adhunik Bangla,Urban Nostalgia,R. D. Burman,0,1,0
Coffee Houser Sei Addata Aaj Aar Nei,bn,Adhunik Bangla,Urban Nostalgia,Manna Dey,1,0,0
Sei Raate Raat Chhilo Purnima,bn,Adhunik Bangla,Romantic Modern,Kishore Kumar,1,0,0
Ei Path Jodi Na Shes Hoy,bn,Bangla Film,Romantic Duet,Sandhya Mukherjee|Hemant Kumar,1,0,0
Tumi Kon Kananer Phul,bn,Rabindra Sangeet,Tagore Romantic,Asha Bhosle,0,1,0
Amar Swapna Je Satyi,bn,Bangla Film,Romantic Retro,Kishore Kumar|Lata Mangeshkar,1,0,0
Nayan Sarasi Keno Bhoreche Jaale,bn,Adhunik Bangla,Melancholic Modern,Kishore Kumar,1,0,0
Jodi Hoi Chorkanta,bn,Bangla Film,Romantic Retro,Asha Bhosle|Kishore Kumar,1,0,0
Mon-Majhi Re,bn,Bangla Folk,Folk-inspired Modern,R. D. Burman,1,0,0
Tare Ami Chokhe Dekhini,bn,Adhunik Bangla,Mystical Modern,Kishore Kumar,0,1,0
Aamar Bhalobasar Rajprasade,bn,Adhunik Bangla,Romantic Modern,Manna Dey,0,1,0
Aaj Milan Tithir Purnima Chand,bn,Bangla Film,Romantic Retro,Kishore Kumar,1,1,0
Jakhan Keu Amake Pagol Bale,bn,Adhunik Bangla,Philosophical Modern,Manna Dey,1,0,0
Coffee Houser Sei Addata Aaj Aar Nei,bn,Adhunik Bangla,Urban Nostalgia,Manna Dey,1,0,0
Chokher Jaler Hoyna Kono Rang,bn,Adhunik Bangla,Melancholic Modern,Kishore Kumar,1,0,0
Chirodini Tumi Je Aamar- Male,bn,Bangla Film,Romantic Film Ballad,Kishore Kumar,1,0,0
Jani Tomar Premer Jogyo Ami To Noi,bn,Adhunik Bangla,Melancholic Modern,Manna Dey,0,0,0
Bandhagharer Andhakare,bn,Adhunik Bangla,Philosophical Modern,Asha Bhosle|Kishore Kumar,1,0,0
O Chand Samle Rakho Jochhnake,bn,Adhunik Bangla,Romantic Modern,Manna Dey,0,1,0
Na Na Na Kachhe Esona,bn,Bangla Film,Playful Romantic,Asha Bhosle|S. P. Balasubrahmanyam,0,0,0
Sundari Go Dohai Dohai,bn,Bangla Film,Playful Folk-Film,Manna Dey,0,1,0
